Format_Numero,Candidat,Type_Erreur,Détails
21,Camille 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
21,Clara 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
21,Hugo 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
21,Louis 21,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
21,Maxime 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
21,Sarah 21,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
21,Thomasg 21,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
21,Thomasl 21,Omission,"The Extraction is missing the 'List of professional experiences' and 'List of personal interests' sections entirely. Additionally, the 'field' and 'country or city' for the 'List of studies' are marked as 'not found', which is inconsistent with the Original."
22,Camille 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
22,Clara 22,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
22,Hugo 22,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
22,Louis 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
22,Maxime 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original' variant.
22,Sarah 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
22,Thomasg 22,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
22,Thomasl 22,Omission,The Extraction is missing the 'List of professional experiences' and 'List of personal interests' sections present in the Original.
23,Camille 23,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
23,Clara 23,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
23,Hugo 23,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
23,Louis 23,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
23,Maxime 23,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
23,Sarah 23,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
23,Thomasg 23,Omission,The 'Extraction' variant is missing the entire 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
23,Thomasl 23,Omission,"The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely, which are present in the 'Original' variant."
24,Camille 24,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
24,Clara 24,Omission,The 'Extraction' is missing the 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
24,Hugo 24,Omission,The 'Extraction' is missing the entire 'List of professional experiences' and 'List of personal interests' sections present in the 'Original'.
24,Louis 24,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
24,Maxime 24,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
24,Sarah 24,Omission,The 'Extraction' variant is missing the 'List of professional experiences' and 'List of personal interests' sections entirely.
