Format_Numero,Candidat,Type_Erreur,Détails
38,Camille 38,Omission,The personal interest 'Culture' is missing from the Extraction.
38,Thomasg 38,Omission,The study at Lycée Clémenceau with a French Baccalauréat in Mathematics & Economics is missing from the Extraction.
38,Thomasl 38,Omission,The 'Tech' interest is missing from the Extraction.
19,Clara 19,Modification,"The 'country or city' for 'emlyon Junior Conseil' and 'emlyon business school' is inconsistent between Reference and Extraction. Additionally, the 'field' for the studies at 'Lycée du Parc' is missing in Extraction."
19,Louis 19,Omission,The 'Business Analytics Project (Academic)' experience is missing from the Extraction.
37,Thomasg 37,Omission,The 'French Baccalauréat' study from Lycée Clémenceau is missing in the Extraction.
37,Thomasl 37,Omission,The 'Tech' interest is missing from the Extraction.
11,Hugo 11,Omission,The personal interest 'Marathon training' is missing from the Extraction.
15,Ines 15,Omission,The volunteering experience as a tutor for underprivileged high school students in economics is missing from the List of professional experiences in the Extraction.
20,Amelie 20,Modification,The 'List of studies' section has a modification in the dates for the 'Lycée Louis-le-Grand' entry. The Reference lists '2022' while the Extraction lists '2021 - 2022'.
21,Louis 21,Omission,The 'Data Visualization' personal interest is missing from the Extraction.
29,Camille 29,Omission,The 'Culture' interest is missing from the Extraction.
32,Sarah 32,Omission,The 'Cultural Trends' interest is missing from the Extraction.
33,Thomasl 33,Omission,The 'Tech' interest is missing from the Extraction.
39,Thomasl 39,Omission,The 'Sports' and 'Tech' personal interests are missing from the Extraction.
