Format_Numero,Candidat,Type_Erreur,Détails
38,Camille 38,Omission,The personal interest 'Culture' is missing from the Extraction.
38,Thomasg 38,Omission,The study at Lycée Clémenceau is missing from the Extraction.
38,Thomasl 38,Omission,The 'Tech' interest is missing from the Extraction.
37,Thomasg 37,Omission,The 'List of studies' in the Extraction is missing the 'French Baccalauréat' from Lycée Clémenceau present in the Reference.
37,Thomasl 37,Omission,The 'Tech' interest is missing from the Extraction.
39,Louis 39,Modification,"The 'Business Analytics Project (Academic)' experience in the Extraction is missing part of the description present in the Reference, specifically the development of forecasting models and recommendations for inventory optimization."
39,Thomasl 39,Omission,The 'Sports' and 'Tech' personal interests are missing from the Extraction.
11,Hugo 11,Omission,The personal interest 'Marathon training' is missing from the Extraction.
15,Ines 15,Omission,The volunteering experience as a tutor for underprivileged high school students in economics is missing from the List of professional experiences in the Extraction.
20,Amelie 20,Modification,The 'List of studies' section contains a modification in the dates for the 'Lycée Louis-le-Grand' entry. The Reference lists '2022' while the Extraction lists '2021 - 2022'.
21,Louis 21,Omission,The 'Data Visualization' personal interest is missing from the Extraction.
29,Camille 29,Omission,The 'Culture' interest is missing from the Extraction.
32,Sarah 32,Omission,The 'Cultural Trends' interest is missing from the Extraction.
33,Thomasl 33,Omission,The 'Tech' interest is missing from the Extraction.
